,var,geo,_param,_domain,_estimate,_stderror,_lci,_uci,_cv
0,ss_6_past,state,mean,AZ,2.4935731077378755,0.06738523503455995,2.361395223153327,2.6257509923224243,0.027023565030219073
1,ss_6_past,state,mean,CA,2.6266264853716295,0.0523556525028708,2.523929516364636,2.729323454378623,0.01993265993259915
2,ss_6_past,state,mean,CO,2.480545288143635,0.06064317166090832,2.361592135564654,2.599498440722616,0.024447516419380446
3,ss_6_past,state,mean,CT,2.7100220069927703,0.09317616714495354,2.527254540787453,2.8927894731980874,0.03438207029482699
4,ss_6_past,state,mean,DE,2.7224101537289256,0.13512967894680147,2.457349787038553,2.9874705204192984,0.04963604722150788
5,ss_6_past,state,mean,FL,2.7557360338919636,0.057436154103286716,2.643073529351452,2.8683985384324755,0.020842400504582744
6,ss_6_past,state,mean,GA,2.6189510214583307,0.0753112101287366,2.47122613135127,2.7666759115653914,0.02875624993047807
7,ss_6_past,state,mean,HI,2.784068956615664,0.07805817924168083,2.6309558154149943,2.9371820978163337,0.02803744463878832
8,ss_6_past,state,mean,IL,2.6984703366606633,0.09158315340703986,2.518827608179917,2.8781130651414095,0.033938914266655726
9,ss_6_past,state,mean,IN,2.6026820075925126,0.05431054760151577,2.496150461194922,2.709213553990103,0.02086714682895632
10,ss_6_past,state,mean,KY,2.549583310857537,0.07654362928944022,2.3994409986327123,2.699725623082362,0.03002201534794924
11,ss_6_past,state,mean,LA,2.6492732762582523,0.09781633070218272,2.457404009001024,2.8411425435154807,0.03692194821076946
12,ss_6_past,state,mean,MA,2.589502681751331,0.05563301527240195,2.4803770807499452,2.6986282827527166,0.021484053932230827
13,ss_6_past,state,mean,MD,2.471445456115096,0.053382581698086136,2.3667341388822325,2.5761567733479596,0.021599740979919926
14,ss_6_past,state,mean,MN,2.5517338903103486,0.0593695178960678,2.4352790425936037,2.6681887380270934,0.02326634376786332
15,ss_6_past,state,mean,NC,2.6616716006843855,0.08173078236542572,2.5013545532931944,2.8219886480755765,0.03070656137459279
16,ss_6_past,state,mean,NH,2.578167441926565,0.10867960126073826,2.364989587983202,2.7913452958699283,0.04215381805439533
17,ss_6_past,state,mean,NJ,2.644092484709429,0.06910615342967452,2.5085389741009867,2.7796459953178716,0.02613605758093174
18,ss_6_past,state,mean,NM,2.777319679908557,0.08423280674937365,2.612094846856611,2.942544512960503,0.030328812112888286
19,ss_6_past,state,mean,NY,2.7003569780862255,0.1294361857885726,2.4464645457536585,2.9542494104187926,0.04793299065233425
20,ss_6_past,state,mean,OR,2.464610071946258,0.0646705361144496,2.3377571396358996,2.591463004256616,0.026239662350880703
21,ss_6_past,state,mean,PA,2.6961132666301397,0.07382793555630149,2.551297858031038,2.8409286752292413,0.027383098651704164
22,ss_6_past,state,mean,RI,2.3458615073116627,0.14768444412127593,2.056174643416573,2.6355483712067524,0.06295531243467184
23,ss_6_past,state,mean,TX,2.7858114091648063,0.09220714180738532,2.6049447112681983,2.9666781070614143,0.03309884563759083
24,ss_6_past,state,mean,VA,2.549470713169605,0.07289441349304913,2.4064864322866923,2.6924549940525178,0.02859197915728314
25,ss_6_past,state,mean,WA,2.509008155977184,0.07439257605871362,2.3630851904018204,2.654931121552548,0.029650192998172984
26,ss_6_past,state,mean,WI,2.490951186171915,0.07967700319109956,2.3346626798480217,2.6472396924958086,0.03198657751039549
